,node2vec,gmvae,Unnamed: 0,label,type
30.0,"[-0.465608, -0.382239, 0.12997, 0.470032, -0.297099, 0.454181, -1.28372, 0.152652, -1.05081, 2.32004, 2.22255, 2.29973, -1.15869, -1.5616, -5.66444, -1.54471]","[-0.8235658407211304, 1.1888302564620972, -0.4745388329029083, 1.2305668592453003, -0.04380914568901062, 0.1671072095632553, -0.742746114730835, 0.572166383266449, 0.7722210884094238, 1.1108057498931885, -0.055608708411455154, -0.14308848977088928, -0.4524412453174591, 0.3067288398742676, 0.005335073918104172, 0.3785420060157776]",30,Alzheimer disease,Neurological
36.0,"[-0.578018, -0.494388, 0.52027, 0.554174, -0.330251, 0.264565, -0.923668, -0.36263, -1.2123, 2.40629, 2.32479, 2.24587, -1.04679, -1.5303, -5.19357, -1.87496]","[-1.607719898223877, -0.41855698823928833, -0.794432520866394, 0.538443922996521, -0.30156126618385315, 0.6746243238449097, -0.03296491503715515, 0.7449991703033447, 0.5805800557136536, 0.1945836991071701, 0.030533092096447945, -0.4154454469680786, -1.3605519533157349, -0.08709920942783356, 0.6170467138290405, 1.4067492485046387]",36,Cerebral amyloid angiopathy,Neurological
37.0,"[-0.554796, -0.479376, 0.511476, 0.547988, -0.3157, 0.285548, -0.868116, -0.349759, -1.2185, 2.41076, 2.3159, 2.22831, -1.0717, -1.51752, -5.16419, -1.87195]","[-2.5158896446228027, -0.44234979152679443, -0.21231333911418915, 0.44718244671821594, -0.3293818533420563, 1.0029950141906738, -0.498229444026947, 0.5757541656494141, 1.5278818607330322, 0.5800117254257202, 0.6324588060379028, -0.1792079210281372, -1.3565350770950317, 0.0013489285483956337, 0.5043792128562927, 0.06575256586074829]",37,Coronary artery disease,Cardiovascular
38.0,"[-0.594653, -0.491095, 0.508405, 0.581627, -0.339513, 0.313843, -0.858045, -0.280804, -1.30169, 2.62902, 2.44875, 2.3008, -1.20121, -1.5665, -5.5849, -1.88913]","[-1.138237476348877, 0.09204845130443573, -0.6204673647880554, -1.3279060125350952, 0.04439018666744232, 0.1179247796535492, -0.9601975679397583, -0.8120296597480774, -1.6525623798370361, 0.18197184801101685, 0.06308789551258087, 1.0538707971572876, -2.3672871589660645, 0.2770560383796692, 1.0332528352737427, -0.805260181427002]",38,HDL cholesterol level QTL,Metabolic
39.0,"[-0.562435, -0.494444, 0.494899, 0.551595, -0.316593, 0.243153, -0.894605, -0.305982, -1.24332, 2.43254, 2.29355, 2.23641, -1.07431, -1.5261, -5.12813, -1.87567]","[0.19286823272705078, -0.024575497955083847, -0.3707674741744995, -0.7429314851760864, -0.5556349158287048, 0.2556200921535492, -0.293098121881485, -0.3821929395198822, -0.9666472673416138, -0.3237394094467163, 0.2207164615392685, 0.17462235689163208, -0.8262214064598083, 0.7199731469154358, 1.4355814456939697, -0.43145933747291565]",39,Tangier disease,Metabolic
41.0,"[-0.897379, -0.240491, 0.529873, 0.323355, -0.43106, 0.379198, -1.07594, 0.204395, -1.18682, 2.27263, 2.36506, 1.9409, -1.08791, -0.871452, -5.41616, -1.42862]","[0.04416060447692871, -0.27862951159477234, -0.25700685381889343, -0.44656556844711304, -1.0947679281234741, 0.025586068630218506, -0.3385276198387146, 0.44381359219551086, -0.8472240567207336, -0.15787780284881592, -0.4625951945781708, -0.11055208742618561, 0.9851610064506531, -0.7209995985031128, 0.25298377871513367, 0.94056636095047]",41,Anemia,Hematological
42.0,"[-0.475862, -0.542184, 0.600279, 0.606122, -0.35426, -0.00556162, -1.41024, -0.0320517, -1.05472, 2.16052, 2.42756, 2.39057, -1.37229, -1.24777, -5.91006, -1.68626]","[0.8870512247085571, -0.9211033582687378, 0.004863381385803223, 0.3699408173561096, -0.5573394298553467, -0.053366661071777344, -1.587566614151001, -0.14582091569900513, -0.4427070617675781, 0.8004610538482666, 0.6570284366607666, -0.8138852715492249, -0.129671111702919, 0.8946460485458374, -0.564852237701416, -0.32245883345603943]",42,Cone dystrophy,Ophthamological
43.0,"[-0.419124, -0.429589, 0.586984, 0.586416, -0.294823, 0.0435399, -1.37812, -0.0634567, -1.0956, 2.06664, 2.44777, 2.36359, -1.26905, -1.06239, -5.66806, -1.64747]","[0.14196017384529114, 0.22078144550323486, -0.39688268303871155, -0.026705920696258545, -0.7396377325057983, 0.1501510739326477, -1.3212628364562988, -0.3597014844417572, -1.0557684898376465, 0.5856912732124329, -0.46606120467185974, -0.44364243745803833, 0.03726138174533844, -0.007323781028389931, -0.5127434730529785, 0.20518644154071808]",43,Fundus albipunctatus,Ophthamological
44.0,"[-0.439763, -0.476863, 0.609648, 0.587834, -0.314294, -0.00512241, -1.35154, -0.0855195, -1.08102, 2.0894, 2.45967, 2.40604, -1.34245, -1.06187, -5.78835, -1.70098]","[0.8034014105796814, -0.38986700773239136, -0.23621094226837158, 0.12377971410751343, -0.0030393898487091064, 0.23451697826385498, -1.2396994829177856, -0.4622693657875061, -0.4759330153465271, 0.711168646812439, 0.6784462928771973, -0.5713068246841431, 0.28828164935112, -0.2011377215385437, -1.2302483320236206, 0.293567955493927]",44,Macular dystrophy,Ophthamological
45.0,"[-0.435663, -0.51493, 0.562232, 0.637512, -0.237254, 0.0425824, -1.55593, -0.0384645, -1.00288, 2.30423, 2.57496, 2.55303, -1.41629, -1.38489, -6.23057, -1.67452]","[0.44210749864578247, -0.4747852683067322, -0.36782920360565186, 0.26254191994667053, -0.10967770218849182, 0.06324692070484161, -0.9989393353462219, -0.3500332534313202, -0.3142998218536377, 0.021253645420074463, 0.34232795238494873, -1.3069148063659668, 0.16985398530960083, 1.1490768194198608, -1.4472334384918213, 0.4553266763687134]",45,Retinitis pigmentosa,Ophthamological
